Category,Name,Description,Direction,Parameters
Volatility,Vol_Trend_20,波动率趋势因子,NEUTRAL,{}
Volatility,Vol_Skewness_60,波动率偏度因子,POSITIVE,{}
Volatility,Vol_Kurtosis_60,波动率峰度因子,NEGATIVE,{}
Volatility,Jump_Vol_20_3.0,跳跃波动率因子,NEUTRAL,{}
Volatility,Intraday_Range_20,日内波幅因子,NEUTRAL,{}
Volatility,Overnight_Gap_20,隔夜跳空因子,NEUTRAL,{}
OrderFlow,BuySell_Pressure_20,买卖压力因子,POSITIVE,{'window': 20}
OrderFlow,BuySell_Pressure_10,买卖压力因子,POSITIVE,{'window': 10}
OrderFlow,Trade_Intensity_20,交易强度因子,NEUTRAL,{}
OrderFlow,Tick_Rule_20,Tick规则因子,POSITIVE,{}
OrderFlow,Lee_Ready_20,Lee-Ready因子,POSITIVE,{}
OrderFlow,OB_Imbalance_L1,订单簿不平衡因子,POSITIVE,{'level': 1}
OrderFlow,OB_Imbalance_L5,订单簿不平衡因子,POSITIVE,{'level': 5}
OrderFlow,OB_Slope_5,订单簿斜率因子,POSITIVE,{}
OrderFlow,OB_Pressure_5,订单簿压力因子,POSITIVE,{}
OrderFlow,Spread,买卖价差因子,NEGATIVE,{}
OrderFlow,Depth_Imbalance_5,深度不平衡因子,POSITIVE,{}
OrderFlow,Funding_Rate,资金费率因子,NEGATIVE,{}
OrderFlow,Funding_Momentum_3,资金费率动量因子,POSITIVE,{}
OrderFlow,Funding_Extreme_0.001,资金费率极值因子,POSITIVE,{}
OrderFlow,Open_Interest_20,持仓量因子,POSITIVE,{'window': 20}
OrderFlow,Open_Interest_10,持仓量因子,POSITIVE,{'window': 10}
OrderFlow,OI_Price_20,持仓量-价格关系因子,POSITIVE,{}
OrderFlow,OI_Velocity_10,持仓量速度因子,POSITIVE,{}
OrderFlow,Large_Trade_20_2.0,大单交易因子,POSITIVE,{}
OrderFlow,Large_Trade_20_3.0,大单交易因子,POSITIVE,{}
OrderFlow,VW_Trade_20,成交量加权交易因子,POSITIVE,{}
CrossMarket,Basis,基差因子,NEGATIVE,{}
CrossMarket,Basis,基差因子,NEGATIVE,{}
CrossMarket,Basis_Momentum_5,基差动量因子,POSITIVE,{}
CrossMarket,Basis_ZScore_60,基差Z-Score因子,NEGATIVE,{}
CrossMarket,Contango_Backwardation_20,升贴水因子,NEGATIVE,{}
CrossMarket,Calendar_Spread,跨期价差因子,POSITIVE,{}
CrossMarket,Term_Structure,期限结构因子,POSITIVE,{}
CrossMarket,Exchange_Spread_binance_okx,跨交易所价差因子,NEUTRAL,{}
CrossMarket,Exchange_Vol_Imbalance_binance_okx,跨交易所成交量不平衡因子,POSITIVE,{}
CrossMarket,Arbitrage_Opportunity_0.001,套利机会因子,POSITIVE,{}
CrossMarket,Pair_Spread_BTC_ETH,币对价差因子,NEUTRAL,{}
CrossMarket,Beta_60,Beta因子,POSITIVE,{'window': 60}
CrossMarket,Correlation_60,相关性因子,NEUTRAL,{}
CrossMarket,Price_Impact_20,价格冲击因子,NEUTRAL,{}
CrossMarket,Liquidity_20,流动性因子,POSITIVE,{}
CrossMarket,Market_Depth_5,市场深度因子,POSITIVE,{}
CrossMarket,Cross_Market_Momentum_20,跨市场动量因子,POSITIVE,{}
CrossMarket,Lead_Lag_20_1,领先滞后因子,POSITIVE,{}
